DEVICE: RS485-Water Meter Board
Columns: SNO | COMPONENT | VALUE | PART_NUMBER | LABEL | TYPE(package) | QTY_IN_HAND
38 | Isolator | MPB0505S | C7465178 | REG_ISO1 | ISOLATOR | 1100
39 | Regulator | AP64060Q | C6500862 | U1 | TSOT26 | 1861
40 | RS485 | ISO3082DWRG4 | C21710 | U2 | SOIC-16_L10.3-W7.5-P1.27-LS10.3-BL | 1127
41 | Regulator | AZ1117 | C460428 | U3 | SOT-89(SOT89-3) | 1079
42 | Micro Controller | EFM32ZG210F32-QFN32T | | U4 | QFN-32_L6.0-W6.0-P0.65-BL-EP4.4 | 726
43 | IC | MAX35101 / MAX35103 | | U5 | TQFP32-5MM | 28
44 | Display | SML08247 | | U6 | SML08247 |
45 | Display IC | HT1621B_C7532 | C7532 | U7 | LQFP-48_L7.0-W7.0-P0.50-LS9.0-BL |
46 | FRAM | MB85RC04V (or) FM24CL04B-GTR | | U9 | SOIC-8_L5.0-W4.0-P1.27-LS6.0-BL | 1000
47 | Ambient Light Sensor | SLPT1206AC-LB1 | | U10 | OPTOSMD_L3.2-W1.6-RD |
48 | Crystal | 4.000Mhz,18pF (887-2462-1-ND) | C5355502 | X1 | CRYSTALSMD_3P-L11.4-W4.7-LS12.7 | 376
49 | Crystal | 32.768khz,12.5pF (300-8879-1-ND) | C7209148 | Y2 | 3.2X1.5MM | 1752
50 | Connectors | 4 PIN JST | | RS485 | HDR-F-2.54_1X3 |
51 | Connectors | 4 PIN JST | | RS485-1 | HDR-F-2.54_1X4 | 368
52 | Connectors | 2 PIN JST | | RTD | JST-XH 1X2 STREIGHT |
53 | Connectors | Burg Pins | | LOADING1 | HDR-TH_6P-P2.54-V-R2-C3-S2.54 |
54 | Connectors | Burg Pins | | HALL | HDR-F-2.54_1X3 |
55 | Connectors | Burg Pins | | J1,J2,J3 | HDR-M-2.54_1X2 |
56 | Connectors | Screw Terminal | | DOWN,UP | CONNTH_2P-P5.00 | 1473
57 | Connectors | 2 PIN JST | | BAT-IN | JST-XH 1X2 STREIGHT | 1415
58 | Sample PCB | - | - | - | - | -
59 | Bare PCBs | - | - | | | -

=== SECTION: REED SENSOR BOARD ===
Columns: SNO | COMPONENT | VALUE | PART_NUMBER | LABEL | TYPE(package) | QTY_IN_HAND
1 | Hall Sensor | DRV5032 | C2655033 | U10 | SOT-23-3 | 1520
2 | Diode | 1N4148 | C444720 | D3 | SOD-123F | 1032
3 | Resistor | 10K,62.5mW,±100ppm/℃ ±5% | | R3 | R0603 |
4 | Header | HDR-M-2.54_1x3 | | HALL | HDR-M-2.54_1X3 |
5 | Header | HDR-F-2.54_1x2 | | J1,J2,J3 | HDR-F-2.54_1X2 |
6 | PCB | | | | |
